"GENERO","PAIS PROCEDENCIA","DEPARTAMENTO","RANGO EDAD","MOTIVO VIAJE","NOCHES","TIPO ALOJAMIENTO","GASTO TURISTICO GENERADO","MEDIO","AÑO"
"MASCULINO","COLOMBIA","QUINDIO","39-50","VISITAR A FAMILIARES Y/O AMIGOS","2","HOTEL","$ 500,000","YA LOS CONOCIA","2021"
"FEMENINO","COLOMBIA","QUINDIO","39-50","VACACIONES, RECREO Y OCIO","2","HOTEL","$ 150,000","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","COLOMBIA","QUINDIO","15-26","VACACIONES, RECREO Y OCIO","2","HOTEL","$ 150,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","CAUCA","27-38","VISITAR A FAMILIARES Y/O AMIGOS","1","CASA FAMILIARES / AMIGOS","$ 650,000","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","COLOMBIA","CAUCA","27-38","VISITAR A FAMILIARES Y/O AMIGOS","1","CASA FAMILIARES / AMIGOS"," $ -   ","YA LOS CONOCIA","2021"
"FEMENINO","COLOMBIA","CAUCA","27-38","VISITAR A FAMILIARES Y/O AMIGOS","2","CASA FAMILIARES / AMIGOS","$ 170,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","ANTIOQUIA","15-26","VACACIONES, RECREO Y OCIO","2","HOSTAL / ALBERGUE / REFUGIO / POSADA TURISTICA","$ 450,000","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","COLOMBIA","ANTIOQUIA","39-50","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","3","HOSTAL / ALBERGUE / REFUGIO / POSADA TURISTICA","$ 600,000","POR LA EMPRESA","2021"
"FEMENINO","COLOMBIA","CUNDINAMARCA","51-62","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","4","CASA FAMILIARES / AMIGOS","$ 1,500,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","CUNDINAMARCA","39-50","VISITAR A FAMILIARES Y/O AMIGOS","4","CASA FAMILIARES / AMIGOS","$ 800,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","CUNDINAMARCA","15-26","VISITAR A FAMILIARES Y/O AMIGOS","4","CASA FAMILIARES / AMIGOS","$ 500,000","MEDIOS DE COMUNICACION MASIVO, PRENSA.","2021"
"FEMENINO","COLOMBIA","CUNDINAMARCA","15-26","VISITAR A FAMILIARES Y/O AMIGOS","4","CASA FAMILIARES / AMIGOS","$ 200,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","RISARALDA","51-62","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","SIN INFORMACION","$ 200,000","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","COLOMBIA","RISARALDA","mas de 63","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","SIN INFORMACION","$ 300,000","YA LOS CONOCIA","2021"
"MASCULINO","COLOMBIA","RISARALDA","15-26","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","SIN INFORMACION","$ 10,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","RISARALDA","39-50","VACACIONES, RECREO Y OCIO","0","SIN INFORMACION","$ 400,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","RISARALDA","39-50","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","SIN INFORMACION"," $ -   ","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","COLOMBIA","RISARALDA","27-38","VACACIONES, RECREO Y OCIO","0","SIN INFORMACION","$ 400,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","QUINDIO","51-62","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","SIN INFORMACION","$ 200,000","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","COLOMBIA","QUINDIO","27-38","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","SIN INFORMACION","$ 100,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","TOLIMA","27-38","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","1","HOTEL","$ 450,000","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","COLOMBIA","TOLIMA","27-38","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","2","HOTEL","$ 220,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","TOLIMA","27-38","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","2","HOTEL","$ 300,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","TOLIMA","mas de 63","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","2","HOTEL"," $ -   ","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","CHOCO","15-26","EDUCACION / FORMACION","8","HABITACION SIN PAGAR EN VIVIENDA FAMILIAR QUE NO ES ALLEGADA MIA"," $ -   ","YA LOS CONOCIA","2021"
"MASCULINO","COLOMBIA","CHOCO","27-38","COMPRAR BIENES O SERVICIOS PARA EMPRESAS QUE NO ES DEL VALLE O COMO INDEPENDIENTE","5","HABITACION SIN PAGAR EN VIVIENDA FAMILIAR QUE NO ES ALLEGADA MIA","$ 600,000","YA LOS CONOCIA","2021"
"FEMENINO","COLOMBIA","CUNDINAMARCA","27-38","VACACIONES, RECREO Y OCIO","2","HOTEL","$ 400,000","MEDIOS DE COMUNICACION MASIVO, PRENSA.","2021"
"MASCULINO","COLOMBIA","CUNDINAMARCA","39-50","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","2","SIN INFORMACION","$ 700,000","MEDIOS DE COMUNICACION MASIVO, PRENSA.","2021"
"FEMENINO","COLOMBIA","CUNDINAMARCA","39-50","VACACIONES, RECREO Y OCIO","2","CASA FAMILIARES / AMIGOS","$ 250,000","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","COLOMBIA","CAUCA","27-38","EDUCACION / FORMACION","3","CASA FAMILIARES / AMIGOS","$ 350,000","YA LOS CONOCIA","2021"
"MASCULINO","COLOMBIA","CAUCA","27-38","VISITAR A FAMILIARES Y/O AMIGOS","0","SIN INFORMACION","$ 200,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","CAUCA","15-26","VACACIONES, RECREO Y OCIO","0","SIN INFORMACION"," $ -   ","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","ANTIOQUIA","15-26","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","1","HOTEL","$ 100,000","YA LOS CONOCIA","2021"
"MASCULINO","COLOMBIA","ANTIOQUIA","27-38","VACACIONES, RECREO Y OCIO","2","HOTEL","$ 400,000","BUSQUEDAS, PAGINAS Y AVISOS EN INTERNET.","2021"
"FEMENINO","COLOMBIA","ANTIOQUIA","mas de 63","VACACIONES, RECREO Y OCIO","2","CASA FAMILIARES / AMIGOS","$ 250,000","BUSQUEDAS, PAGINAS Y AVISOS EN INTERNET.","2021"
"MASCULINO","COLOMBIA","ANTIOQUIA","51-62","VISITAR A FAMILIARES Y/O AMIGOS","2","CASA FAMILIARES / AMIGOS","$ 350,000","YA LOS CONOCIA","2021"
"FEMENINO","COLOMBIA","ANTIOQUIA","27-38","VISITAR A FAMILIARES Y/O AMIGOS","2","CASA FAMILIARES / AMIGOS","$ 220,000","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","COLOMBIA","ANTIOQUIA","51-62","VISITAR A FAMILIARES Y/O AMIGOS","1","CASA / CABAÑA DE VACACIONES/ APARTAMENTO PROPIO","$ 500,000","YA LOS CONOCIA","2021"
"FEMENINO","COLOMBIA","CAUCA","mas de 63","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","SIN INFORMACION","$ 180,000","YA LOS CONOCIA","2021"
"FEMENINO","COLOMBIA","VALLE DEL CAUCA","15-26","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","SIN INFORMACION","$ 120,000","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","COLOMBIA","CAUCA","15-26","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","SIN INFORMACION"," $ -   ","BUSQUEDAS, PAGINAS Y AVISOS EN INTERNET.","2021"
"MASCULINO","COLOMBIA","CAUCA","27-38","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","SIN INFORMACION","$ 190,000","YA LOS CONOCIA","2021"
