"GENERO","ID_PAIS PROCEDENCIA","PAIS PROCEDENCIA","DEPARTAMENTO","Id_edad","RANGO EDAD","ID MOTIVO VIAJE","MOTIVO VIAJE","NOCHES","ID TIPO ALOJAMIENTO","TIPO ALOJAMIENTO","GASTO TURISTICO GENERADO","ID_Medio","MEDIO","AÑO"
"MASCULINO","1","COLOMBIA","QUINDIO","3","39-50","15","VISITAR A FAMILIARES Y/O AMIGOS","2","11","HOTEL","500000","11","YA LOS CONOCIA","2021"
"FEMENINO","1","COLOMBIA","QUINDIO","3","39-50","13","VACACIONES, RECREO Y OCIO","2","11","HOTEL","150000","2","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","1","COLOMBIA","QUINDIO","1","15-26","13","VACACIONES, RECREO Y OCIO","2","11","HOTEL","150000","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","CAUCA","2","27-38","15","VISITAR A FAMILIARES Y/O AMIGOS","1","6","CASA FAMILIARES / AMIGOS","650000","2","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","1","COLOMBIA","CAUCA","2","27-38","15","VISITAR A FAMILIARES Y/O AMIGOS","1","6","CASA FAMILIARES / AMIGOS","0.00","11","YA LOS CONOCIA","2021"
"FEMENINO","1","COLOMBIA","CAUCA","2","27-38","15","VISITAR A FAMILIARES Y/O AMIGOS","2","6","CASA FAMILIARES / AMIGOS","170000","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","ANTIOQUIA","1","15-26","13","VACACIONES, RECREO Y OCIO","2","10","HOSTAL / ALBERGUE / REFUGIO / POSADA TURISTICA","450000","2","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","1","COLOMBIA","ANTIOQUIA","3","39-50","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","3","10","HOSTAL / ALBERGUE / REFUGIO / POSADA TURISTICA","600000","8","POR LA EMPRESA","2021"
"FEMENINO","1","COLOMBIA","CUNDINAMARCA","4","51-62","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","4","6","CASA FAMILIARES / AMIGOS","1500000","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","CUNDINAMARCA","3","39-50","15","VISITAR A FAMILIARES Y/O AMIGOS","4","6","CASA FAMILIARES / AMIGOS","800000","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","CUNDINAMARCA","1","15-26","15","VISITAR A FAMILIARES Y/O AMIGOS","4","6","CASA FAMILIARES / AMIGOS","500000","6","MEDIOS DE COMUNICACION MASIVO, PRENSA.","2021"
"FEMENINO","1","COLOMBIA","CUNDINAMARCA","1","15-26","15","VISITAR A FAMILIARES Y/O AMIGOS","4","6","CASA FAMILIARES / AMIGOS","200000","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","RISARALDA","4","51-62","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","14","SIN INFORMACION","200000","2","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","1","COLOMBIA","RISARALDA","5","mas de 63","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","14","SIN INFORMACION","300000","11","YA LOS CONOCIA","2021"
"MASCULINO","1","COLOMBIA","RISARALDA","1","15-26","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","14","SIN INFORMACION","100000","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","RISARALDA","3","39-50","13","VACACIONES, RECREO Y OCIO","0","14","SIN INFORMACION","400000","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","RISARALDA","3","39-50","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","14","SIN INFORMACION","0","2","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","1","COLOMBIA","RISARALDA","2","27-38","13","VACACIONES, RECREO Y OCIO","0","14","SIN INFORMACION","400000","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","QUINDIO","4","51-62","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","14","SIN INFORMACION","200000","2","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","1","COLOMBIA","QUINDIO","2","27-38","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","0","14","SIN INFORMACION","100000","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","TOLIMA","2","27-38","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","1","11","HOTEL","450000","2","AMIGOS Y/O FAMILIARES.","2021"
"MASCULINO","1","COLOMBIA","TOLIMA","2","27-38","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","2","11","HOTEL","220000","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","TOLIMA","2","27-38","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","2","11","HOTEL","300000","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","TOLIMA","5","mas de 63","12","TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES","2","11","HOTEL","0","2","AMIGOS Y/O FAMILIARES.","2021"
"FEMENINO","1","COLOMBIA","CHOCO","1","15-26","6","EDUCACION / FORMACION","8","9","HABITACION SIN PAGAR EN VIVIENDA FAMILIAR QUE NO ES ALLEGADA MIA","0","11","YA LOS CONOCIA","2021"
